Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada (m³/d),Capacidade Processamento(m³/d),Volume Processado  (m³/d),FUE (%)
08/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"2,000",0
08/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"1775,000",11
08/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"152957,000",139
08/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"4471,000",15
07/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"394781,000",194
07/2022,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,27112,51600,"0,000",0
07/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"0,000",0
07/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"176830,000",161
07/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"3903,000",13
06/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"384000,000",188
06/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"12417,000",78
06/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"183303,000",167
06/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,30000,60000,"0,000",0
06/2022,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,30000,60000,"0,000",0
05/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"387139,000",190
05/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"19043,000",119
05/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"186861,000",170
05/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,30000,60000,"0,000",0
04/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"385875,000",189
04/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"18750,000",117
04/2022,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"193729,000",176
04/2022,ZEG BIOGÁS E ENERGIA S.A,24025216000250,SUDESTE,São Paulo,SAO PAULO,30000,60000,"0,000",0
03/2022,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"384000,000",188
03/2022,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"15141,000",95
